Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Public Function,"CThreadSafeQueue::GetWaitHandle",ThreadSafeQueue.h,1,1,
Public Function,"CThreadSafeQueue::clear",ThreadSafeQueue.h,8,2,
Public Function,"CThreadSafeQueue::overflow",ThreadSafeQueue.h,4,1,
Public Function,"CThreadSafeQueue::pop",ThreadSafeQueue.h,13,3,
Public Function,"CThreadSafeQueue::push",ThreadSafeQueue.h,15,3,
Public Function,"CThreadSafeQueue::~CThreadSafeQueue",ThreadSafeQueue.h,5,1,
Class,"CWinGroupIterator",WinMgr.h,14,,6
Public Function,"CWinGroupIterator::CWinGroupIterator",WinMgr.h,1,1,
Public Function,"CWinGroupIterator::Next",WinMgr.h,1,2,
Public Function,"CWinGroupIterator::operator WINRECT *",WinMgr.h,1,1,
Public Function,"CWinGroupIterator::operator=",WinMgr.h,5,1,
Public Function,"CWinGroupIterator::pWINRECT",WinMgr.h,1,1,
Class,"CWinMgr",WinMgr.h,388,,78
Protected Virtual Function,"CWinMgr::AdjustSize",WinMgr.cpp,18,4,
Explicit Public Function,"CWinMgr::CWinMgr",WinMgr.cpp,4,1,
Private Function,"CWinMgr::CWinMgr",WinMgr.h,1,1,
Protected Virtual Function,"CWinMgr::CalcGroup",WinMgr.cpp,47,10,
Public Function,"CWinMgr::CalcLayout",WinMgr.h,6,1,
Public Function,"CWinMgr::CalcLayout",WinMgr.h,4,1,
Public Function,"CWinMgr::CalcLayout",WinMgr.h,5,1,
Protected Function,"CWinMgr::CountWindows",WinMgr.cpp,10,3,
Public Function,"CWinMgr::FindRect",WinMgr.cpp,9,3,
Public Function,"CWinMgr::GetMinMaxInfo",WinMgr.cpp,8,1,
Public Function,"CWinMgr::GetMinMaxInfo",WinMgr.cpp,34,9,
Public Function,"CWinMgr::GetRect",WinMgr.h,1,1,
Public Virtual Function,"CWinMgr::GetWindowPositions",WinMgr.cpp,15,4,
Public Function,"CWinMgr::InitToFitSizeFromCurrent",WinMgr.cpp,11,3,
Public Function,"CWinMgr::MoveRect",WinMgr.h,3,1,
Public Function,"CWinMgr::MoveRect",WinMgr.cpp,28,4,
Public Virtual Function,"CWinMgr::OnGetSizeInfo",WinMgr.cpp,89,16,
Protected Virtual Function,"CWinMgr::PositionRects",WinMgr.cpp,25,4,
Protected Function,"CWinMgr::SendGetSizeInfo",WinMgr.cpp,15,3,
Public Function,"CWinMgr::SetRect",WinMgr.h,1,1,
Public Virtual Function,"CWinMgr::SetWindowPositions",WinMgr.cpp,28,5,
Public Virtual Function,"CWinMgr::~CWinMgr",WinMgr.cpp,3,1,
Static Function,"CalcChecksum",LexHex.cxx,16,4,
Static Function,"CalcIHexChecksum",LexHex.cxx,6,1,
Static Function,"CalcSrecChecksum",LexHex.cxx,6,1,
Static Function,"CalcTEHexChecksum",LexHex.cxx,17,3,
Function,"CalcVisibleCellBoundaries",BabyGrid.cpp,27,5,
